yyyy/mm/dd,Extent(km2)
2012-11-07,8672090.402957091
2012-11-08,8743601.675163664
2012-11-09,8778538.890285196
2012-11-10,8786550.304397592
2012-11-11,8937013.757994432
2012-11-12,9021076.010855602
2012-11-13,9121401.73536438
2012-11-14,9151756.27040187
2012-11-15,9304228.140291223
2012-11-16,9468300.734294524
2012-11-17,9539334.42374634
2012-11-18,9677528.051190374
2012-11-19,9860573.8572819
2012-11-20,9929705.521119367
2012-11-21,9995786.34741316
2012-11-22,10089441.941368574
2012-11-23,10181048.092393316
2012-11-24,10339851.169674657
2012-11-25,10407149.044910561
2012-11-26,10529027.775705412
2012-11-27,10487612.379599484
2012-11-28,10534934.01258632
2012-11-29,10740927.711997965
2012-11-30,10836334.338670133
2012-12-01,10981661.48198295
2012-12-02,10998764.549728606
2012-12-03,11172394.20818854
2012-12-04,11301485.16782881
2012-12-05,11378574.481786821
2012-12-06,11572546.429348193
2012-12-07,11586715.013157036
2012-12-08,11667547.127520293
2012-12-09,11830064.547718279
2012-12-10,11817913.366603134
2012-12-11,11821472.979145262
2012-12-12,11844610.029323136
2012-12-13,11819045.375088109
2012-12-14,11816689.392039679
2012-12-15,11917108.054776434
2012-12-16,11953627.135120375
2012-12-17,12063341.030677395
2012-12-18,12286293.44193622
2012-12-19,12314256.037983416
2012-12-20,12281176.39165497
2012-12-21,12288408.529790873
2012-12-22,12325949.7846859
2012-12-23,12390476.325232757
2012-12-24,12743064.063449504
2012-12-25,12725527.582916224
2012-12-26,12762160.439927148
2012-12-27,12820567.442698784
2012-12-28,12917544.121418368
2012-12-29,13010691.871901918
2012-12-30,12958364.62444908
2012-12-31,12989547.164346088
