yyyy/mm/dd,Extent(km2)
2023-06-26,12119605.301414799
2023-06-27,12152337.877090571
2023-06-28,12189705.929957073
2023-06-29,12300273.113333292
2023-06-30,12450211.2006347
2023-07-01,12580820.933632271
2023-07-02,12579404.951119307
2023-07-03,12566527.249942536
2023-07-04,12577477.510617374
2023-07-05,12643528.159411212
2023-07-06,12721158.547191236
2023-07-07,12849824.091713518
2023-07-08,13076996.33403906
2023-07-09,13235437.035338521
2023-07-10,13288316.867851824
2023-07-11,13340618.813605156
2023-07-12,13428574.824749105
2023-07-13,13574964.72558566
2023-07-14,13632138.590946352
2023-07-15,13888703.098812163
2023-07-16,14046308.702617418
2023-07-17,14132150.198254064
2023-07-18,14148486.111818828
2023-07-19,14221741.541451804
2023-07-20,14299969.271256298
2023-07-21,14422711.77060343
2023-07-22,14470453.917040357
2023-07-23,14500460.088007739
2023-07-24,14552553.708195426
2023-07-25,14635550.492075784
2023-07-26,14673849.43469858
2023-07-27,14792948.948497158
2023-07-28,14843732.83447513
2023-07-29,14879646.10488734
2023-07-30,14965483.367249032
2023-07-31,15035723.13885988
2023-08-01,15049337.477040192
2023-08-02,15074216.490321573
2023-08-03,15099153.499279141
2023-08-04,15217258.186751993
2023-08-05,15300926.14645411
2023-08-06,15242537.019959722
2023-08-07,15264190.015778363
2023-08-08,15308087.414385196
2023-08-09,15293726.946671242
2023-08-10,15313086.765313903
2023-08-11,15280570.421929102
2023-08-12,15304447.913971554
2023-08-13,15346444.862340463
2023-08-14,15423477.613569215
2023-08-15,15668468.42213145
2023-08-16,15925741.574945176
2023-08-17,15993613.962171616
2023-08-18,15969612.231596882
2023-08-19,16023342.05066883
2023-08-20,16078509.461521545
2023-08-21,16182972.864542706
2023-08-22,16271367.128772449
2023-08-23,16312545.76362891
2023-08-24,16441677.314993165
2023-08-25,16467372.02490453
2023-08-26,16611508.656622246
2023-08-27,16595305.84002064
2023-08-28,16668139.938866198
2023-08-29,16780601.42723123
2023-08-30,16827486.501391593
2023-08-31,16846811.831022937
2023-09-01,16941356.391335923
2023-09-02,17036795.32197803
2023-09-03,17078622.41563201
2023-09-04,17181957.42849362
2023-09-05,17282328.356571313
2023-09-06,17365806.775967054
2023-09-07,17393212.945500944
2023-09-08,17382963.13449624
2023-09-09,17289716.629588794
2023-09-10,17291655.816727
2023-09-11,17293364.95661403
2023-09-12,17309403.755192228
2023-09-13,17343339.56101117
2023-09-14,17294091.018269997
2023-09-15,17266274.446311273
2023-09-16,17259069.083851445
2023-09-17,17260829.771127947
2023-09-18,17240493.451724943
2023-09-19,17210637.80318631
2023-09-20,17140571.051832438
2023-09-21,17113057.83091684
2023-09-22,17042996.868937124
2023-09-23,17009274.708248585
2023-09-24,16943334.826094773
2023-09-25,16935106.272844985
2023-09-26,16908829.58133589
2023-09-27,17024809.33285264
2023-09-28,17095611.296812877
2023-09-29,17078387.988247745
2023-09-30,17090244.75477696
2023-10-01,17067437.16474846
2023-10-02,17106159.54305212
2023-10-03,17063882.011483975
2023-10-04,16956317.486667402
2023-10-05,16867774.76067318
2023-10-06,16781853.684358858
2023-10-07,16803464.99616561
2023-10-08,16740159.086903505
2023-10-09,16694764.2219849
2023-10-10,16664127.254156828
2023-10-11,16561916.352886157
2023-10-12,16474877.410916775
2023-10-13,16432091.463957882
2023-10-14,16353992.107512446
2023-10-15,16364020.189690406
2023-10-16,16380704.224208156
2023-10-17,16388045.47757477
2023-10-18,16395364.680587161
2023-10-19,16391344.025917176
2023-10-20,16236334.225119637
2023-10-21,16158699.123884492
2023-10-22,16169626.779374283
2023-10-23,16199823.453794932
2023-10-24,16231997.83635231
2023-10-25,16215798.914533122
2023-10-26,16190318.567169486
2023-10-27,16147975.854572002
2023-10-28,16111480.920019357
2023-10-29,16041638.394436067
2023-10-30,15968904.323066646
2023-10-31,15871154.261338664
2023-11-01,15746563.972672418
2023-11-02,15659398.536484445
2023-11-03,15603364.237109793
2023-11-04,15533963.99976341
2023-11-05,15558808.37585916
2023-11-06,15594068.15244803
2023-11-07,15558433.954137936
2023-11-08,15555035.726116162
2023-11-09,15509133.847425068
2023-11-10,15490431.220265627
2023-11-11,15456763.468452536
2023-11-12,15366486.524795244
2023-11-13,15222651.833565513
2023-11-14,15137923.229136422
2023-11-15,15024101.260508161
2023-11-16,14877134.254609078
