Date (yyyy/mm/dd),Extent (km2)
2023/06/30,9583262.204749372
2023/07/01,9497338.75424071
2023/07/02,9452302.487818971
2023/07/03,9379282.180373562
2023/07/04,9252013.131509623
2023/07/05,9164995.411652947
2023/07/06,9110271.195423463
2023/07/07,9053756.211666016
2023/07/08,8993376.126849804
2023/07/09,8951422.785114931
2023/07/10,8863682.949068911
2023/07/11,8778950.94534425
2023/07/12,8626899.943771083
2023/07/13,8486877.50216396
2023/07/14,8419155.39961472
2023/07/15,8251237.61229331
2023/07/16,8168088.108986845
2023/07/17,8074628.355186387
2023/07/18,8078596.155197791
2023/07/19,7910079.4821897885
2023/07/20,7725419.533476181
2023/07/21,7614478.690194404
2023/07/22,7507286.758240709
2023/07/23,7427726.772945674
2023/07/24,7454283.488343461
2023/07/25,7396562.45938126
2023/07/26,7364300.5478653535
2023/07/27,7243944.596216648
2023/07/28,7091521.193325914
2023/07/29,7037927.584459108
2023/07/30,6960109.469080305
2023/07/31,6892855.932402115
2023/08/01,6777848.839984897
2023/08/02,6823849.509349366
2023/08/03,6707619.714756018
2023/08/04,6544342.700187681
2023/08/05,6392563.9840093795
2023/08/06,6245061.07610663
2023/08/07,6223473.32124869
2023/08/08,6193473.164663526
2023/08/09,6181217.692145938
2023/08/10,6042999.227780576
2023/08/11,5982298.227249948
2023/08/12,5781295.592710407
2023/08/13,5657104.454471427
2023/08/14,5461336.67687849
2023/08/15,5471642.156737409
2023/08/16,5396824.658428732
2023/08/17,5286502.774999443
2023/08/18,5266552.32615222
2023/08/19,5205038.127910126
2023/08/20,5122084.20136285
2023/08/21,5056135.33161855
2023/08/22,4993832.927908384
2023/08/23,4920971.520170815
2023/08/24,4940002.439896756
2023/08/25,4893254.38174218
2023/08/26,4810978.113838241
2023/08/27,4832982.775255744
2023/08/28,4763206.305074913
2023/08/29,4721589.82065411
2023/08/30,4683847.690290548
2023/08/31,4655714.077629249
2023/09/01,4588622.161468515
2023/09/02,4580819.385225019
2023/09/03,4574034.030317495
2023/09/04,4552433.945556964
2023/09/05,4496020.905916727
2023/09/06,4490663.629285826
2023/09/07,4445508.977497874
2023/09/08,4484033.326521729
2023/09/09,4400204.088774774
2023/09/10,4378133.849040233
2023/09/11,4302369.558230843
2023/09/12,4350262.989971056
2023/09/13,4318054.29639955
2023/09/14,4353672.460929519
2023/09/15,4312929.599736703
2023/09/16,4336139.236647022
2023/09/17,4338291.263750561
2023/09/18,4375854.146987854
2023/09/19,4364074.317466988
2023/09/20,4374774.1704581315
2023/09/21,4403072.995078707
2023/09/22,4413531.568256302
2023/09/23,4442447.179536311
2023/09/24,4517806.764790262
2023/09/25,4523450.378395337
2023/09/26,4622996.831208184
2023/09/27,4553911.45320992
2023/09/28,4566460.567952406
2023/09/29,4611858.935033941
2023/09/30,4703497.765571897
2023/10/01,4875414.553426007
2023/10/02,4979886.404192945
2023/10/03,5054468.35762716
2023/10/04,5036958.073889547
2023/10/05,5209756.888515514
2023/10/06,5260722.6809701435
2023/10/07,5317052.648472314
2023/10/08,5433315.7813770035
2023/10/09,5534360.9816909
2023/10/10,5662755.135068439
2023/10/11,5688648.910377272
2023/10/12,5766463.246955083
2023/10/13,5799345.8778538
2023/10/14,5879813.476999396
2023/10/15,6020612.401396188
2023/10/16,6184251.669224859
2023/10/17,6489060.23089478
2023/10/18,6773187.573193213
2023/10/19,7021623.233677308
2023/10/20,7198016.896772074
2023/10/21,7271903.210236348
2023/10/22,7334950.130818781
2023/10/23,7435053.421758812
2023/10/24,7526680.059790933
2023/10/25,7675748.808209767
2023/10/26,7912254.028057689
2023/10/27,8051255.913900754
2023/10/28,8185309.958902224
2023/10/29,8318016.966641412
2023/10/30,8476397.389354594
2023/10/31,8628491.445524594
2023/11/01,8693451.677859519
2023/11/02,8745270.902688498
2023/11/03,8797387.991381204
2023/11/04,8894891.39276567
2023/11/05,8943660.164865829
2023/11/06,9047612.35904552
2023/11/07,9086900.519866502
2023/11/08,9188136.907858053
2023/11/09,9417700.435696186
2023/11/10,9433407.456388248
2023/11/11,9536891.992670288
2023/11/12,9648828.191430394
2023/11/13,9579201.177399807
2023/11/14,9665318.388885587
2023/11/15,9818807.195893658
2023/11/16,9966510.28009331
2023/11/17,10018645.433491416
2023/11/18,10121512.823134217
2023/11/19,10121292.794458302
2023/11/20,10159647.378895832
2023/11/21,10198418.545565415
2023/11/22,10209777.092283586
2023/11/23,10213942.555586973
2023/11/24,10128260.826145457
2023/11/25,10219622.250724293
2023/11/26,10242141.735819016
2023/11/27,10317900.678349044
2023/11/28,10442987.560710717
2023/11/29,10476795.02237987
2023/11/30,10534774.308118684
2023/12/01,10676752.27073619
2023/12/02,10767537.217002412
2023/12/03,10872839.936036205
2023/12/04,10893822.802695967
2023/12/05,11059081.453318587
2023/12/06,11058211.011923686
2023/12/07,11094576.579310806
2023/12/08,11165286.564350056
2023/12/09,11272191.359184787
2023/12/10,11413362.57664729
2023/12/11,11618152.888056358
2023/12/12,11732899.68877855
2023/12/13,11928747.812074758
2023/12/14,12017469.844061136
2023/12/15,12063378.654880548
2023/12/16,12176030.89245258
2023/12/17,12203259.013230285
2023/12/18,12312159.912029453
2023/12/19,12393360.417927342
2023/12/20,12561270.30759973
2023/12/21,12673730.009264339
2023/12/22,12772097.000368584
2023/12/23,12842535.761665313
2023/12/24,12867807.011649873
2023/12/25,13038774.095979555
2023/12/26,13016882.023587056
2023/12/27,13078892.985064752
2023/12/28,13046943.334203308
2023/12/29,13106925.681019071
2023/12/30,13125796.895310827
2023/12/31,13132522.35664584
